Index,epoch,train/box_loss,train/seg_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss
225,226,0.80426,0.80356,0.89786,0.71446,0.56237,0.75014,0.57679,0.21831,1.1304,1.3219
226,227,0.81469,0.83401,0.84548,0.75123,0.56656,0.74158,0.60079,0.22743,1.1262,1.3312
227,228,0.82459,0.83003,0.82343,0.74138,0.56472,0.68076,0.61452,0.22526,1.1321,1.3471
228,229,0.81372,0.79801,0.92638,0.68719,0.568,0.7692,0.55419,0.21694,1.1281,1.3535
229,230,0.82462,0.81427,0.87284,0.74138,0.56971,0.73302,0.61538,0.22556,1.1141,1.3303
230,231,0.80125,0.80039,0.88953,0.7338,0.57126,0.73919,0.60591,0.2288,1.116,1.3137
231,232,0.79279,0.82285,0.92325,0.71429,0.56723,0.73563,0.61684,0.23734,1.0944,1.2896
232,233,0.79865,0.81258,0.92119,0.71429,0.56373,0.75352,0.58128,0.22735,1.1109,1.3036
233,234,0.80725,0.80945,0.88142,0.73234,0.57051,0.74092,0.59606,0.22912,1.1083,1.3134
234,235,0.82064,0.80208,0.88716,0.71182,0.56591,0.73871,0.59113,0.22359,1.1135,1.3413
235,236,0.81294,0.81505,0.87971,0.7069,0.55779,0.7998,0.58374,0.22636,1.1152,1.3294
236,237,0.78183,0.81484,0.86277,0.72778,0.56814,0.82153,0.57824,0.23545,1.121,1.3313
237,238,0.78402,0.83163,0.91523,0.69138,0.56272,0.80448,0.57389,0.23431,1.1246,1.3186
238,239,0.78309,0.80698,0.90726,0.69879,0.56824,0.77019,0.58374,0.23282,1.1336,1.3822
239,240,0.80182,0.7815,0.86625,0.74631,0.57457,0.78774,0.58504,0.23029,1.1274,1.4174
240,241,0.80383,0.79583,0.90238,0.72861,0.56979,0.75989,0.60837,0.21722,1.1217,1.4215
241,242,0.80278,0.82541,0.90584,0.73458,0.57566,0.77169,0.59942,0.22888,1.1162,1.4096
242,243,0.79229,0.81743,0.90431,0.72158,0.57172,0.73717,0.58721,0.21771,1.1316,1.3688
243,244,0.78597,0.78305,0.87437,0.73399,0.57541,0.71066,0.5989,0.22163,1.1262,1.3377
244,245,0.7809,0.8144,0.89518,0.7266,0.57005,0.73454,0.59606,0.21857,1.1293,1.3243
245,246,0.77642,0.75863,0.87567,0.72414,0.57403,0.74294,0.59084,0.22966,1.1255,1.3241
246,247,0.77687,0.76019,0.9052,0.71675,0.56472,0.74438,0.58867,0.22586,1.1305,1.3447
247,248,0.78313,0.77945,0.89823,0.72414,0.56836,0.72896,0.5697,0.21925,1.1392,1.3392
248,249,0.78889,0.78378,0.89345,0.72284,0.5715,0.79963,0.55046,0.22202,1.1287,1.3163
